month,dow,hour,bike_trips,bike_dur_tot,NO2,PM10,PM2_5,NOx,O3,Veloc,Temp
2,2,15,16168,222460,28.256410256410255,29.84375,9.3125,45.78378378378378,66.45454545454545,2.1399999999999997,18.35625
2,2,16,13668,199496,28.435897435897434,28.65625,8.03125,45.13513513513514,63.77272727272727,2.2600000000000002,17.71875
2,2,17,15452,294332,27.615384615384617,27.9375,7.8125,43.972972972972975,61.86363636363637,2.04,16.875
2,2,18,16192,291632,33.743589743589745,30.5,8.46875,50.78378378378378,51.86363636363637,1.5050000000000001,15.31875
2,2,19,15316,310248,38.8974358974359,32.625,9.65625,53.83783783783784,43.90909090909091,1.2799999999999998,14.725
2,2,20,13876,194800,43.41025641025641,31.25,12.125,57.945945945945944,33.22727272727273,1.28,14.35
2,2,21,8916,123004,45.51282051282051,34.5,14.65625,65.37837837837837,28.363636363636363,1.3800000000000001,13.8875
2,2,22,5388,71952,42.97435897435897,32.78125,14.125,63.32432432432432,26.818181818181817,1.43,13.38125
2,2,23,4224,58640,35.15384615384615,27.53125,13.53125,49.486486486486484,31.772727272727273,1.6949999999999998,12.775
2,3,0,2500,38080,28.256410256410255,24.1875,13.5,42.21621621621622,35.18181818181818,1.435,12.18125
2,3,1,1256,19216,23.564102564102566,21.375,13.90625,34.108108108108105,38.52173913043478,1.4449999999999998,11.61875
2,3,2,676,10360,20.153846153846153,17.8125,11.65625,27.783783783783782,38.08695652173913,1.365,11.3
2,3,3,596,8524,19.0,18.3125,12.15625,25.2972972972973,34.08695652173913,1.5050000000000001,10.7125
2,3,4,452,8716,18.487179487179485,16.0625,10.90625,24.972972972972972,32.36363636363637,1.425,10.21875
2,3,5,644,7724,19.256410256410255,16.3125,10.09375,27.18918918918919,32.54545454545455,1.56,10.0125
2,3,6,2588,55640,29.743589743589745,24.0,10.59375,48.21621621621622,21.818181818181817,1.415,9.46875
2,3,7,11576,212132,46.078947368421055,43.03225806451613,12.6875,103.08333333333333,7.619047619047619,1.44,8.86875
2,3,8,16108,287844,56.60526315789474,64.25806451612904,16.375,154.55555555555554,6.238095238095238,1.33,9.6
2,3,9,11668,211172,56.8421052631579,66.78125,17.9375,134.66666666666666,14.19047619047619,1.15,12.13125
2,3,10,9740,171460,47.1578947368421,52.71875,18.125,97.52777777777777,25.9,1.34,14.44375
2,3,11,10640,247584,43.891891891891895,47.125,17.40625,80.17142857142858,36.73684210526316,1.194736842105263,16.366666666666667
2,3,12,12100,438500,41.51282051282051,41.75,16.8125,76.10810810810811,43.81818181818182,1.3842105263157896,17.086666666666666
2,3,13,13844,328140,35.794871794871796,37.15625,14.78125,60.08108108108108,54.22727272727273,2.0842105263157897,17.279999999999998
2,3,14,19680,287956,30.102564102564102,30.9375,12.65625,51.7027027027027,60.54545454545455,2.8368421052631576,16.926666666666666
2,3,15,15876,253652,26.846153846153847,29.0625,11.15625,44.78378378378378,62.45454545454545,2.736842105263158,16.64
2,3,16,13960,223140,25.923076923076923,26.59375,11.40625,43.13513513513514,62.77272727272727,2.9,16.0
2,3,17,15540,234372,31.435897435897434,28.78125,11.375,48.86486486486486,60.81818181818182,2.763157894736842,15.246666666666666
2,3,18,16112,356240,35.43589743589744,29.4375,10.0625,57.972972972972975,54.54545454545455,1.736842105263158,13.9
2,3,19,15716,272800,40.17948717948718,34.53125,10.5625,59.16216216216216,46.40909090909091,1.105263157894737,13.513333333333332
2,3,20,12424,194620,43.43589743589744,34.40625,12.9375,59.5945945945946,37.68181818181818,0.9473684210526315,13.22
2,3,21,8912,118428,49.666666666666664,39.75,17.71875,71.16216216216216,27.681818181818183,0.631578947368421,12.766666666666667
2,3,22,5296,83568,53.743589743589745,43.75,20.71875,84.75675675675676,19.363636363636363,0.7631578947368421,12.313333333333333
2,3,23,4236,61628,50.69230769230769,43.84375,22.5,76.13513513513513,19.0,0.7631578947368421,11.92
2,4,0,3488,72272,41.69230769230769,36.0625,21.9375,56.45945945945946,20.863636363636363,0.7105263157894737,11.32
2,4,1,1628,22756,37.717948717948715,33.90625,22.03125,50.638888888888886,19.136363636363637,12.784210526315789,10.96
2,4,2,988,17504,33.61538461538461,32.15625,21.65625,40.32432432432432,20.272727272727273,0.7999999999999999,10.613333333333333
2,4,3,816,11328,28.256410256410255,28.59375,20.75,34.083333333333336,21.727272727272727,13.563157894736841,10.326666666666666
2,4,4,464,7284,27.487179487179485,28.21875,21.0,31.54054054054054,19.90909090909091,0.868421052631579,10.073333333333332
2,4,5,828,13668,27.641025641025642,27.71875,19.46875,36.32432432432432,21.772727272727273,1.1263157894736842,9.833333333333334
2,4,6,2428,113904,34.891891891891895,37.70967741935484,20.516129032258064,58.02857142857143,17.523809523809526,1.1157894736842104,9.506666666666666
2,4,7,9712,257148,46.6,57.206896551724135,21.93103448275862,126.84848484848484,11.380952380952381,18.533333333333335,9.360000000000001
2,4,8,12680,310624,56.888888888888886,79.96666666666667,24.322580645161292,192.52941176470588,8.5,0.8473684210526317,10.08
2,4,9,9828,235384,55.19444444444444,62.285714285714285,22.64516129032258,169.7058823529412,13.608695652173912,1.0526315789473684,11.373333333333333
2,4,10,8308,232680,47.69444444444444,58.464285714285715,22.0,107.20588235294117,19.772727272727273,0.975,13.207142857142857
2,4,11,9164,404948,40.61538461538461,49.06896551724138,20.06451612903226,68.83333333333333,31.52173913043478,0.8,14.87857142857143
2,4,12,10188,316360,42.025,47.483870967741936,21.6875,70.55263157894737,36.12,1.205,15.65
2,4,13,12540,206920,40.875,45.5,21.75,63.51282051282051,45.04,1.6649999999999998,15.7875
2,4,14,19084,328824,32.575,32.96875,18.625,50.76923076923077,59.52,1.7899999999999998,15.753333333333334
2,4,15,13716,214348,28.55,30.71875,16.84375,46.0,65.48,1.9578947368421054,15.606666666666666
2,4,16,11892,178660,29.575,30.4375,14.765625,46.26315789473684,65.5,1.394736842105263,15.846666666666668
2,4,17,12800,218544,31.125,27.75,14.15625,47.48717948717949,65.52,1.1736842105263159,14.92
2,4,18,12412,306612,31.25,25.5625,14.96875,47.82051282051282,62.76,1.3263157894736841,13.58
2,4,19,12180,196216,38.975,33.53125,17.5625,57.794871794871796,53.64,1.2473684210526315,13.120000000000001
2,4,20,11236,224824,38.85,30.84375,19.5,55.61538461538461,50.333333333333336,3.094736842105263,12.866666666666667
2,4,21,7864,146024,46.65,41.46875,21.90625,68.07692307692308,38.666666666666664,1.2052631578947368,12.686666666666667
2,4,22,5776,112368,51.875,45.375,27.65625,75.74358974358974,26.68,0.6473684210526316,12.46
2,4,23,4912,99456,51.17948717948718,52.90625,30.125,68.92105263157895,24.82608695652174,19.278947368421054,11.913333333333332
2,5,0,5132,112832,50.8974358974359,53.0,32.4375,68.07894736842105,19.083333333333332,0.6473684210526316,11.793333333333333
2,5,1,3288,79860,47.6,48.25,31.46875,62.02564102564103,19.56,0.7999999999999999,11.653333333333334
2,5,2,2540,50096,37.775,37.90625,28.125,47.30769230769231,25.84,1.0052631578947369,11.233333333333333
2,5,3,2104,29976,32.325,36.125,27.65625,40.43589743589744,27.0,1.726315789473684,11.106666666666666
2,5,4,1856,30972,29.275,34.5625,27.15625,35.84615384615385,26.44,1.6421052631578947,11.146666666666667
2,5,5,1284,19028,26.475,31.28125,25.84375,31.897435897435898,27.4,2.142105263157895,11.1
2,5,6,1220,29148,26.525,30.1875,24.34375,32.56410256410256,25.6,1.9052631578947365,10.893333333333334
